Ã¯..dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Country
31/03/2020,31,3,2020,0,0,Angola,AO,AGO,30809762,Angola
30/03/2020,30,3,2020,3,2,Angola,AO,AGO,30809762,Angola
29/03/2020,29,3,2020,0,0,Angola,AO,AGO,30809762,Angola
28/03/2020,28,3,2020,1,0,Angola,AO,AGO,30809762,Angola
27/03/2020,27,3,2020,1,0,Angola,AO,AGO,30809762,Angola
26/03/2020,26,3,2020,0,0,Angola,AO,AGO,30809762,Angola
25/03/2020,25,3,2020,0,0,Angola,AO,AGO,30809762,Angola
24/03/2020,24,3,2020,0,0,Angola,AO,AGO,30809762,Angola
23/03/2020,23,3,2020,0,0,Angola,AO,AGO,30809762,Angola
22/03/2020,22,3,2020,2,0,Angola,AO,AGO,30809762,Angola
31/03/2020,31,3,2020,57,2,Algeria,DZ,DZA,42228429,Algeria
30/03/2020,30,3,2020,45,3,Algeria,DZ,DZA,42228429,Algeria
29/03/2020,29,3,2020,104,5,Algeria,DZ,DZA,42228429,Algeria
28/03/2020,28,3,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
27/03/2020,27,3,2020,41,4,Algeria,DZ,DZA,42228429,Algeria
26/03/2020,26,3,2020,33,0,Algeria,DZ,DZA,42228429,Algeria
25/03/2020,25,3,2020,42,0,Algeria,DZ,DZA,42228429,Algeria
24/03/2020,24,3,2020,87,2,Algeria,DZ,DZA,42228429,Algeria
23/03/2020,23,3,2020,8,5,Algeria,DZ,DZA,42228429,Algeria
22/03/2020,22,3,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429,Algeria
20/03/2020,20,3,2020,9,1,Algeria,DZ,DZA,42228429,Algeria
19/03/2020,19,3,2020,13,1,Algeria,DZ,DZA,42228429,Algeria
18/03/2020,18,3,2020,0,1,Algeria,DZ,DZA,42228429,Algeria
17/03/2020,17,3,2020,12,0,Algeria,DZ,DZA,42228429,Algeria
16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429,Algeria
15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429,Algeria
14/03/2020,14,3,2020,2,1,Algeria,DZ,DZA,42228429,Algeria
13/03/2020,13,3,2020,4,1,Algeria,DZ,DZA,42228429,Algeria
12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429,Algeria
06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429,Algeria
05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429,Algeria
04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429,Algeria
02/03/2020,2,3,2020,2,0,Algeria,DZ,DZA,42228429,Algeria
01/03/2020,1,3,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
28/02/2020,28,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
27/02/2020,27,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
26/02/2020,26,2,2020,1,0,Algeria,DZ,DZA,42228429,Algeria
25/02/2020,25,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
24/02/2020,24,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
23/02/2020,23,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
22/02/2020,22,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
21/02/2020,21,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
20/02/2020,20,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
19/02/2020,19,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
18/02/2020,18,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
17/02/2020,17,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
16/02/2020,16,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
15/02/2020,15,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
14/02/2020,14,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
13/02/2020,13,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
12/02/2020,12,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
11/02/2020,11,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
10/02/2020,10,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
09/02/2020,9,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
08/02/2020,8,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
07/02/2020,7,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
06/02/2020,6,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
05/02/2020,5,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
04/02/2020,4,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
03/02/2020,3,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
02/02/2020,2,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
01/02/2020,1,2,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
31/01/2020,31,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
30/01/2020,30,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
29/01/2020,29,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
28/01/2020,28,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
27/01/2020,27,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
26/01/2020,26,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
25/01/2020,25,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
24/01/2020,24,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
23/01/2020,23,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
22/01/2020,22,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
21/01/2020,21,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
20/01/2020,20,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
19/01/2020,19,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
18/01/2020,18,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
17/01/2020,17,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
16/01/2020,16,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
15/01/2020,15,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
14/01/2020,14,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
13/01/2020,13,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
12/01/2020,12,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
11/01/2020,11,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
10/01/2020,10,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
09/01/2020,9,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
08/01/2020,8,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
07/01/2020,7,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
06/01/2020,6,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
05/01/2020,5,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
04/01/2020,4,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
03/01/2020,3,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
02/01/2020,2,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
01/01/2020,1,1,2020,0,0,Algeria,DZ,DZA,42228429,Algeria
31/12/2019,31,12,2019,0,0,Algeria,DZ,DZA,42228429,Algeria
31/03/2020,31,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
30/03/2020,30,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
29/03/2020,29,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
28/03/2020,28,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
27/03/2020,27,3,2020,1,0,Benin,BJ,BEN,11485048,Benin
26/03/2020,26,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
25/03/2020,25,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
24/03/2020,24,3,2020,3,0,Benin,BJ,BEN,11485048,Benin
23/03/2020,23,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
22/03/2020,22,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
21/03/2020,21,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
20/03/2020,20,3,2020,1,0,Benin,BJ,BEN,11485048,Benin
19/03/2020,19,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
18/03/2020,18,3,2020,0,0,Benin,BJ,BEN,11485048,Benin
17/03/2020,17,3,2020,1,0,Benin,BJ,BEN,11485048,Benin
31/03/2020,31,3,2020,42,3,Burkina_Faso,BF,BFA,19751535,Burkina Faso
30/03/2020,30,3,2020,0,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
29/03/2020,29,3,2020,34,6,Burkina_Faso,BF,BFA,19751535,Burkina Faso
28/03/2020,28,3,2020,0,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
27/03/2020,27,3,2020,32,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
26/03/2020,26,3,2020,15,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
25/03/2020,25,3,2020,24,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
24/03/2020,24,3,2020,11,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
23/03/2020,23,3,2020,0,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
22/03/2020,22,3,2020,24,2,Burkina_Faso,BF,BFA,19751535,Burkina Faso
21/03/2020,21,3,2020,7,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
20/03/2020,20,3,2020,7,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
19/03/2020,19,3,2020,6,1,Burkina_Faso,BF,BFA,19751535,Burkina Faso
18/03/2020,18,3,2020,0,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
17/03/2020,17,3,2020,17,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
16/03/2020,16,3,2020,0,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
15/03/2020,15,3,2020,1,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
12/03/2020,12,3,2020,0,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
11/03/2020,11,3,2020,2,0,Burkina_Faso,BF,BFA,19751535,Burkina Faso
31/03/2020,31,3,2020,43,0,Cameroon,CM,CMR,25216237,Cabo Verde
30/03/2020,30,3,2020,0,0,Cameroon,CM,CMR,25216237,Cabo Verde
29/03/2020,29,3,2020,11,1,Cameroon,CM,CMR,25216237,Cabo Verde
28/03/2020,28,3,2020,0,0,Cameroon,CM,CMR,25216237,Cabo Verde
27/03/2020,27,3,2020,16,0,Cameroon,CM,CMR,25216237,Cabo Verde
26/03/2020,26,3,2020,0,0,Cameroon,CM,CMR,25216237,Cabo Verde
25/03/2020,25,3,2020,16,1,Cameroon,CM,CMR,25216237,Cabo Verde
24/03/2020,24,3,2020,29,0,Cameroon,CM,CMR,25216237,Cabo Verde
23/03/2020,23,3,2020,0,0,Cameroon,CM,CMR,25216237,Cabo Verde
22/03/2020,22,3,2020,0,0,Cameroon,CM,CMR,25216237,Cabo Verde
21/03/2020,21,3,2020,13,0,Cameroon,CM,CMR,25216237,Cabo Verde
20/03/2020,20,3,2020,4,0,Cameroon,CM,CMR,25216237,Cabo Verde
19/03/2020,19,3,2020,0,0,Cameroon,CM,CMR,25216237,Cabo Verde
18/03/2020,18,3,2020,6,0,Cameroon,CM,CMR,25216237,Cabo Verde
17/03/2020,17,3,2020,0,0,Cameroon,CM,CMR,25216237,Cabo Verde
16/03/2020,16,3,2020,1,0,Cameroon,CM,CMR,25216237,Cabo Verde
15/03/2020,15,3,2020,1,0,Cameroon,CM,CMR,25216237,Cabo Verde
09/03/2020,9,3,2020,1,0,Cameroon,CM,CMR,25216237,Cabo Verde
07/03/2020,7,3,2020,1,0,Cameroon,CM,CMR,25216237,Cabo Verde
31/03/2020,31,3,2020,0,0,Cape_Verde,CV,CPV,543767,Cameroon
30/03/2020,30,3,2020,0,0,Cape_Verde,CV,CPV,543767,Cameroon
29/03/2020,29,3,2020,0,0,Cape_Verde,CV,CPV,543767,Cameroon
28/03/2020,28,3,2020,0,0,Cape_Verde,CV,CPV,543767,Cameroon
27/03/2020,27,3,2020,1,0,Cape_Verde,CV,CPV,543767,Cameroon
26/03/2020,26,3,2020,1,0,Cape_Verde,CV,CPV,543767,Cameroon
25/03/2020,25,3,2020,0,1,Cape_Verde,CV,CPV,543767,Cameroon
24/03/2020,24,3,2020,0,0,Cape_Verde,CV,CPV,543767,Cameroon
23/03/2020,23,3,2020,0,0,Cape_Verde,CV,CPV,543767,Cameroon
22/03/2020,22,3,2020,1,0,Cape_Verde,CV,CPV,543767,Cameroon
21/03/2020,21,3,2020,2,0,Cape_Verde,CV,CPV,543767,Cameroon
31/03/2020,31,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
30/03/2020,30,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
29/03/2020,29,3,2020,1,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
28/03/2020,28,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
27/03/2020,27,3,2020,1,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
26/03/2020,26,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
25/03/2020,25,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
24/03/2020,24,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
23/03/2020,23,3,2020,1,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
22/03/2020,22,3,2020,2,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
21/03/2020,21,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
20/03/2020,20,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
19/03/2020,19,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
18/03/2020,18,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
17/03/2020,17,3,2020,0,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
16/03/2020,16,3,2020,1,0,Central_African_Republic,CF,CAF,4666377,Central African Republic
31/03/2020,31,3,2020,2,0,Chad,TD,TCD,15477751,Chad
30/03/2020,30,3,2020,0,0,Chad,TD,TCD,15477751,Chad
29/03/2020,29,3,2020,0,0,Chad,TD,TCD,15477751,Chad
28/03/2020,28,3,2020,0,0,Chad,TD,TCD,15477751,Chad
27/03/2020,27,3,2020,2,0,Chad,TD,TCD,15477751,Chad
26/03/2020,26,3,2020,0,0,Chad,TD,TCD,15477751,Chad
25/03/2020,25,3,2020,1,0,Chad,TD,TCD,15477751,Chad
24/03/2020,24,3,2020,0,0,Chad,TD,TCD,15477751,Chad
23/03/2020,23,3,2020,0,0,Chad,TD,TCD,15477751,Chad
22/03/2020,22,3,2020,1,0,Chad,TD,TCD,15477751,Chad
21/03/2020,21,3,2020,0,0,Chad,TD,TCD,15477751,Chad
20/03/2020,20,3,2020,1,0,Chad,TD,TCD,15477751,Chad
31/03/2020,31,3,2020,0,0,Congo,CG,COG,5244363,Congo
30/03/2020,30,3,2020,0,0,Congo,CG,COG,5244363,Congo
29/03/2020,29,3,2020,15,0,Congo,CG,COG,5244363,Congo
28/03/2020,28,3,2020,0,0,Congo,CG,COG,5244363,Congo
27/03/2020,27,3,2020,0,0,Congo,CG,COG,5244363,Congo
26/03/2020,26,3,2020,0,0,Congo,CG,COG,5244363,Congo
25/03/2020,25,3,2020,0,0,Congo,CG,COG,5244363,Congo
24/03/2020,24,3,2020,0,0,Congo,CG,COG,5244363,Congo
23/03/2020,23,3,2020,0,0,Congo,CG,COG,5244363,Congo
22/03/2020,22,3,2020,1,0,Congo,CG,COG,5244363,Congo
21/03/2020,21,3,2020,0,0,Congo,CG,COG,5244363,Congo
20/03/2020,20,3,2020,0,0,Congo,CG,COG,5244363,Congo
19/03/2020,19,3,2020,2,0,Congo,CG,COG,5244363,Congo
18/03/2020,18,3,2020,0,0,Congo,CG,COG,5244363,Congo
17/03/2020,17,3,2020,0,0,Congo,CG,COG,5244363,Congo
16/03/2020,16,3,2020,1,0,Congo,CG,COG,5244363,Congo
31/03/2020,31,3,2020,3,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
30/03/2020,30,3,2020,25,1,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
29/03/2020,29,3,2020,39,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
28/03/2020,28,3,2020,5,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
27/03/2020,27,3,2020,16,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
26/03/2020,26,3,2020,7,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
25/03/2020,25,3,2020,48,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
24/03/2020,24,3,2020,0,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
23/03/2020,23,3,2020,8,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
22/03/2020,22,3,2020,3,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
21/03/2020,21,3,2020,5,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
20/03/2020,20,3,2020,3,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
19/03/2020,19,3,2020,1,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
18/03/2020,18,3,2020,0,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
17/03/2020,17,3,2020,1,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
16/03/2020,16,3,2020,0,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
15/03/2020,15,3,2020,3,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
12/03/2020,12,3,2020,1,0,Cote_dIvoire,CI,CIV,25069229,Cote d'Ivoire
31/03/2020,31,3,2020,17,0,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
30/03/2020,30,3,2020,23,2,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
29/03/2020,29,3,2020,0,2,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
28/03/2020,28,3,2020,4,0,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
27/03/2020,27,3,2020,9,1,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
26/03/2020,26,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
25/03/2020,25,3,2020,19,1,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
24/03/2020,24,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
23/03/2020,23,3,2020,3,1,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
22/03/2020,22,3,2020,9,1,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
21/03/2020,21,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
20/03/2020,20,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
19/03/2020,19,3,2020,11,0,Democratic_Republic_of_the_Congo,CD,COD,84068091,Democratic Republic of Congo
